stem,lb,cv,fam,std,pred_lb,resid_e6
w27_ad190stdcorr,0.97118,0.9701181344162544,h3,True,0.9711605873798488,19.412620151260107
w29_ad194stdcorr,0.97118,0.9701182875261916,h3,True,0.9711608845746788,19.11542532129218
w27_ad190std,0.97117,0.970110933814171,ens4,True,0.9711605091049405,9.490895059527382
w27_ad190std_logit,0.97116,0.9700395047477924,logit,True,0.9711588268340012,1.173165998791248
w29_ad194std_logit,0.97116,0.97003993618869,logit,True,0.9711596642845712,0.33571542878974014
w27_ad188raw,0.97116,0.9701113750689624,ens4,True,0.9711613656048196,-1.365604819558719
w29_ad194std,0.97116,0.9701116199443892,ens4,True,0.9711618409215248,-1.8409215247761068
w29_ad194std_rescale,0.97115,0.9700978808735924,rescale,True,0.9711584434937276,-8.443493727638973
w27_ad188raw_rescale,0.97115,0.970098971367698,rescale,True,0.9711605602029126,-10.56020291267945
w27_ad190std_rescale,0.97115,0.9700990014183078,rescale,True,0.9711606185328032,-10.618532803263747
