stem,cv,lb_stale,n_tie,rhash,bad,lb_live,fam,sent
w16n_finegrid,0.9700556964750704,0.97107,0,c0d3e0e571b8,,0.97107,ens4,True
w16i_schemeavg,0.9700556662570056,0.97107,0,e8b3c57b8493,,0.97107,ens4,True
w16m_widegrid,0.9700556662570056,,0,e8b3c57b8493,,,ens4,False
w16e_aonly,0.9700544304624676,0.97108,0,5ede34154015,,0.97108,ens4,True
w16q_ens4avg,0.9700515171213084,0.97108,0,14b12e883100,,0.97108,ens4,True
w16t_cellens4,0.9700513726632268,0.97108,0,3cf37bfba6cc,,0.97108,ens4,True
blendtop3,0.970049460405207,0.97105,20197,a9680e4de5f2,,0.97105,h3,True
blend159av_wh3,0.9700492569216792,0.97105,5424,be7ce204c931,,0.97105,wh3,True
blend159av_h3,0.9700491721182696,0.97105,35226,b9ba37d6a12d,,0.97105,h3,True
w16h_h3av6,0.9700487290113216,0.97105,0,663e787ee1e2,,0.97105,ens4,True
blend160origm_h3,0.970048654980868,0.97105,35182,687df8f5398b,,0.97105,h3,True
blend158_h3,0.9700483189336572,0.97105,35429,fda53970fbc3,,0.97105,h3,True
blend159av_w,0.9700481784285347,0.97105,5468,8a8221559d9e,,0.97105,w,True
w14a_repro159av_h3,0.9700472004643722,0.97105,35508,f3db8342caf4,,0.97105,h3,True
blend159_h3,0.9700469365091934,0.97105,35442,71c1d6f22c37,,0.97105,h3,True
blend156w,0.970046657295287,0.97105,5883,2b455f7e9f1a,,0.97105,w,True
blend156w2,0.970046465909134,0.97105,5754,1e139ba2ce5b,,0.97105,w2,True
blend160orig_h3,0.9700463311228632,0.97105,35246,6ccc27ebd6f9,,0.97105,h3,True
blend156_h3,0.9700461184445184,0.97105,34992,66fd0668aec9,,0.97105,h3,True
w16l_maskw_h3,0.970045740213802,0.97105,32219,f2e2f6c721e1,,0.97105,h3,True
blend159av,0.9700448767129296,0.97106,20356,1ac5ff6d11ed,,0.97106,ens4,True
blend160origm,0.9700442444424164,0.97106,20080,c4ded80d4ed3,,0.97106,ens4,True
w14a_repro159av,0.9700436164293268,,20362,378f9ff021ad,,0.97106,ens4,True
blend159,0.9700433779222748,0.97106,20526,aa295e0a616b,,0.97106,ens4,True
blend158,0.97004322665942,0.97106,20497,eb1d0b75e4e4,,0.97106,ens4,True
blend160orig,0.9700423076141412,0.97106,20516,503e502a09ff,,0.97106,ens4,True
blend156,0.9700416046775032,0.97106,20097,8054e7de899b,,0.97106,ens4,True
blend158_rankraw,0.970036419922286,0.97104,1177,050b387512cc,"range [-17.75, 17.49]",0.97104,rankraw,True
blend156_rankraw,0.9700360784150184,0.97104,1238,61185b06b190,"range [-17.85, 16.98]",0.97104,rankraw,True
blend153,0.9700343285733894,0.97104,20518,1dd6abe74de9,,0.97104,ens4,True
blend160orig_rankraw,0.9700342765404693,,1064,257afb262496,"range [-17.73, 17.28]",0.97104,rankraw,True
blend159av_rankraw,0.9700338606526144,,1183,5a49a3429a65,"range [-17.66, 17.52]",0.97102,rankraw,True
blend160origm_rankraw,0.9700331270767358,,1237,303e8ef01207,"range [-17.9, 17.2]",0.97105,rankraw,True
blend150sx,0.9700330480936658,0.97104,20144,3f39f3db3267,,0.97104,ens4,True
blend159_rankraw,0.9700325394457388,,1150,4ae7cbabea52,"range [-17.8, 16.84]",0.97105,rankraw,True
blend150fx,0.9700319433658622,0.97104,20352,0f8da4388f77,,0.97104,ens4,True
w14a_repro159av_rankraw,0.9700313094207962,,1130,a9cb06caaa9a,"range [-17.74, 17.22]",0.97105,rankraw,True
blend159av_hybrid,0.9700291725494375,,1248,ac46fca0ace9,"range [-8.745, 13.48]",0.97102,hybrid,True
blend159av_rescale,0.9700286702343648,,2143,4e3b60fb5499,"range [-8.733, 10.2]",0.97105,rescale,True
blend158_hybrid,0.9700283333245054,0.97103,1159,5bea0bf7ffea,"range [-8.991, 13.76]",0.97103,hybrid,True
blend158_rescale,0.9700273730091136,0.97105,2067,c7976466121a,"range [-8.703, 10.16]",0.97105,rescale,True
blend160origm_hybrid,0.9700273084068992,,1374,a11085dc7df8,"range [-8.89, 13.62]",0.97103,hybrid,True
w14a_repro159av_rescale,0.9700271740621011,,2144,0d3fad6928b7,"range [-8.725, 10.19]",0.97105,rescale,True
blend160origm_rescale,0.9700270088294172,,2349,9f419463b557,"range [-8.767, 10.3]",0.97105,rescale,True
blend153_rankraw,0.9700266911160214,,1173,995eeb2c0fd5,"range [-17.64, 17.66]",0.97101,rankraw,True
blend159_rescale,0.9700258921564706,,2249,d5814fecc681,"range [-8.714, 10.16]",0.97105,rescale,True
w14a_repro159av_hybrid,0.9700258630141788,,1136,728f3e9f7581,"range [-9.053, 13.85]",0.97102,hybrid,True
blend160orig_hybrid,0.9700254919891138,,1344,79b921760116,"range [-8.964, 13.79]",0.97102,hybrid,True
blend156_rescale,0.970025114813873,0.97105,2413,7625421886f3,"range [-8.74, 10.22]",0.97105,rescale,True
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,0,93a84c2eec27,,0.97103,rankraw,True
blend159_hybrid,0.9700244514017536,,1199,db75845b6143,"range [-8.956, 13.81]",0.97103,hybrid,True
stack_pub151_hybrid,0.9700242945519818,0.97099,0,d52596c373fd,,0.97099,hybrid,True
blend150fx_rankraw,0.9700240718313954,0.97102,1212,23b9f6f5185d,"range [-17.54, 17.85]",0.97102,rankraw,True
blend160orig_rescale,0.9700233486631156,,2448,597f8ae3b6bd,"range [-8.731, 10.22]",0.97105,rescale,True
stack_pub151_rankraw,0.970023065836235,0.97102,0,0cf42d4d5395,,0.97102,rankraw,True
blend156_hybrid,0.970023048486854,,1342,4a233f0ad678,"range [-8.911, 13.65]",0.97102,hybrid,True
blend150sx_rankraw,0.970021856854838,0.97102,1122,2b6876e339cd,"range [-17.6, 17.75]",0.97102,rankraw,True
blend153_rescale,0.970019799144154,,2099,4944130370d0,"range [-8.753, 10.18]",0.97102,rescale,True
stack_pub149_hybrid,0.9700183101166489,0.97099,0,a8f69d9e7bae,,0.97099,hybrid,True
blend150sx_rescale,0.9700170339298692,,2174,557b741e6c9e,"range [-8.703, 10.11]",0.97103,rescale,True
blend153_hybrid,0.9700168430359332,,1200,23ba59212e7c,"range [-8.94, 13.78]",0.97101,hybrid,True
blend150sx_hybrid,0.9700160915169684,0.97101,1835,174c6289f8f6,"range [-8.922, 13.8]",0.97101,hybrid,True
blend150fx_hybrid,0.9700142363358246,0.97099,1209,f2c3d0892098,"range [-8.969, 13.88]",0.97099,hybrid,True
blend150fx_rescale,0.9700125368779352,0.97102,2071,7e85a98a125c,"range [-8.736, 10.2]",0.97102,rescale,True
w14a_repro159av_logit,0.969964869765448,,1101,da839d72cdfe,"range [-8.646, 16.85]",0.97106,logit,True
blend159av_logit,0.9699647645223464,0.97106,1161,06727e8aec66,"range [-8.594, 16.7]",0.97106,logit,True
blend159_logit,0.9699646622223984,,1080,eceda703bf46,"range [-8.74, 16.86]",0.97106,logit,True
blend160origm_logit,0.9699635759958648,,1268,4955d2dd7ce2,"range [-8.589, 16.94]",0.97106,logit,True
blend156_logit,0.9699618031215246,,1279,10c00b11e5fc,"range [-8.62, 16.84]",0.97105,logit,True
blend160orig_logit,0.969961779850316,,1268,6b8013b4af90,"range [-8.587, 16.67]",0.97106,logit,True
blend158_logit,0.9699613898723588,0.97106,1102,9c26716828b7,"range [-8.582, 16.93]",0.97106,logit,True
blend150sx_logit,0.9699553831959208,0.97104,1107,e929a9e416bb,"range [-8.56, 16.7]",0.97104,logit,True
blend153_logit,0.9699540296194336,,1119,218e2f648353,"range [-8.538, 16.95]",0.97104,logit,True
blend150fx_logit,0.9699498370519284,0.97103,1112,d4c678ce6450,"range [-8.486, 17.02]",0.97103,logit,True
stack_pub86_hybrid,0.9696778003750686,0.9708,0,e8f4ab66691d,,0.9708,hybrid,True
stack_pub88_mine_logit,0.9696599465172034,0.97081,0,8aecc58dde9b,,0.97081,logit,True
stack_pub74_logit,0.969641351563196,0.97081,0,09a02db8b0e3,,0.97081,logit,True
w15e_antistudent,,0.97104,0,19f7f9fc4d5d,,0.97104,ens4,True
w15f_antistudent_avg,,0.97107,0,cc2fdec4b011,,0.97107,ens4,True
w15f_antistudent_cv,,,0,235add14266d,,0.97106,ens4,True
w16b_cellweight,,0.97107,0,6a4edff53096,,0.97107,ens4,True
w16d_membercell,,,0,44833ada633b,,0.97107,ens4,True
w16f_armavg,,0.97107,0,c3288f8b3ee9,,0.97107,ens4,True
